Existing term	Synonym to add
anterior cingulate gyrus	cingulate gyrus, anterior division
posterior cingulate cortex	cingulate gyrus, posterior division
medial orbital frontal cortex	frontal medial cortex
opercular part of inferior frontal gyrus	inferior frontal gyrus, pars opercularis
orbital part of inferior frontal gyrus	inferior frontal gyrus, pars orbitalis
triangular part of inferior frontal gyrus	inferior frontal gyrus, pars triangularis
inferior parietal cortex	inferior parietal lobule
posterior parahippocampal gyrus	parahippocampal gyrus, posterior division
superior parietal cortex	superior parietal lobule
